K_links_fixed,opp_reachable,pct_of_ca,ca
0,1,2.2,46
1,1,2.2,46
2,1,2.2,46
3,1,2.2,46
5,1,2.2,46
10,1,2.2,46
15,1,2.2,46
20,1,2.2,46
30,1,2.2,46
40,1,2.2,46
50,1,2.2,46
75,1,2.2,46
100,1,2.2,46
150,3,6.5,46
200,3,6.5,46
250,6,13.0,46
300,6,13.0,46
