u,v,osmid,highway_1,width_final,length,Tmrt_06,Tmrt_07,Tmrt_08,Tmrt_09,Tmrt_10,Tmrt_11,Tmrt_12,Tmrt_13,Tmrt_14,Tmrt_15,Tmrt_16,Tmrt_17,Tmrt_18,Tmrt_19
10015167771,10015167765,1093508047,footway,2.0,8.063572040319135,23.8839168548584,32.850833892822266,41.855323791503906,51.644248962402344,58.63893127441406,61.1021614074707,62.97813415527344,62.10085678100586,62.72607421875,62.076622009277344,59.69158935546875,56.761962890625,51.164669036865234,43.58980178833008
10015167765,10015167771,1093508047,footway,2.0,8.063572040319135,23.8839168548584,32.850833892822266,41.855323791503906,51.644248962402344,58.63893127441406,61.1021614074707,62.97813415527344,62.10085678100586,62.72607421875,62.076622009277344,59.69158935546875,56.761962890625,51.164669036865234,43.58980178833008
8498422137,1855204533,"[174870625, 174870618, 37402052, 1029058213]",primary,20.0,272.6015377491383,24.03874969482422,33.897560119628906,43.146026611328125,53.436859130859375,60.812339782714844,63.44110107421875,65.80300903320312,65.21247863769531,66.06954956054688,64.91010284423828,62.279300689697266,59.556270599365234,54.09511184692383,46.63877868652344
1855204533,8498422137,"[174870625, 174870618, 37402052, 1029058213]",primary,20.0,272.60153774913834,24.03874969482422,33.897560119628906,43.146026611328125,53.436859130859375,60.812339782714844,63.44110107421875,65.80300903320312,65.21247863769531,66.06954956054688,64.91010284423828,62.279300689697266,59.556270599365234,54.09511184692383,46.63877868652344
4963715662,8450140844,"[506687952, 910081097]",path,2.0,225.76360902879134,23.7663047096946,32.070104425603695,41.6241455078125,52.26153009588068,59.62877863103693,62.27392023259943,64.45733087713069,63.68536376953125,64.14897571910511,62.85839288884943,59.92593106356534,56.59347811612216,50.40233820134943,42.49478426846591
8450140844,4963715662,"[506687952, 910081097]",footway,2.0,225.7636090287913,23.7663047096946,32.070104425603695,41.6241455078125,52.26153009588068,59.62877863103693,62.27392023259943,64.45733087713069,63.68536376953125,64.14897571910511,62.85839288884943,59.92593106356534,56.59347811612216,50.40233820134943,42.49478426846591
11123498684,11123498684,"[1199236910, 1199236930, 1199236909, 506687950]",path,2.0,76.09295512479986,24.216827392578125,30.577374776204426,38.92880503336588,47.91412862141927,54.238871256510414,56.60543314615885,59.34143575032552,59.13135782877604,59.96062215169271,59.02857971191406,56.76197306315104,53.830769856770836,48.30090840657552,40.950721740722656
11123498684,11123498684,"[506687950, 1199236930, 1199236909, 1199236910]",footway,2.0,76.09295512479986,24.216827392578125,30.577374776204426,38.92880503336588,47.91412862141927,54.238871256510414,56.60543314615885,59.34143575032552,59.13135782877604,59.96062215169271,59.02857971191406,56.76197306315104,53.830769856770836,48.30090840657552,40.950721740722656
4963715662,11123498684,"[506687952, 506687950, 506687951]",path,2.0,136.33499319867522,23.799120221819198,32.52136012486049,41.411285400390625,51.23095267159598,58.220245361328125,60.684827532087056,62.745553152901785,62.091395786830354,62.75177437918527,61.720023018973215,59.131522042410715,56.10258265904018,50.288705008370535,42.645786830357146
11123498684,4963715662,"[506687952, 506687950, 506687951]",path,2.0,136.3349931986752,23.799120221819198,32.52136012486049,41.411285400390625,51.23095267159598,58.220245361328125,60.684827532087056,62.745553152901785,62.091395786830354,62.75177437918527,61.720023018973215,59.131522042410715,56.10258265904018,50.288705008370535,42.645786830357146
732244571,732244120,"[59079409, 59079405, 59079431]",trunk_link,6.0,596.424292501732,24.150980631510418,31.995381673177082,40.2044921875,49.81280517578125,56.49256184895833,59.293375651041664,62.880289713541664,62.56083577473958,63.51853841145833,62.3033447265625,59.70136311848958,57.05310872395833,51.68101806640625,44.343465169270836
732244120,732244571,"[59079409, 59079405, 59079431]",trunk_link,6.0,596.424292501732,24.150980631510418,31.995381673177082,40.2044921875,49.81280517578125,56.49256184895833,59.293375651041664,62.880289713541664,62.56083577473958,63.51853841145833,62.3033447265625,59.70136311848958,57.05310872395833,51.68101806640625,44.343465169270836
5578025694,5578025696,583450851,unclassified,6.0,19.107012162260972,24.122798919677734,34.1440544128418,43.226802825927734,53.742618560791016,61.37727737426758,64.17182159423828,66.87651824951172,66.27565002441406,67.425048828125,66.08386993408203,63.336753845214844,60.7015495300293,55.244258880615234,47.881866455078125
5578025696,5578025694,583450851,unclassified,6.0,19.107012162260972,24.122798919677734,34.1440544128418,43.226802825927734,53.742618560791016,61.37727737426758,64.17182159423828,66.87651824951172,66.27565002441406,67.425048828125,66.08386993408203,63.336753845214844,60.7015495300293,55.244258880615234,47.881866455078125
9577113365,8498422126,914871077,secondary_link,6.0,35.35224253152388,24.017738342285156,33.5717658996582,42.65805435180664,52.91189956665039,60.25690841674805,62.94820022583008,65.37452697753906,64.70568084716797,65.47968292236328,64.23368835449219,61.60968017578125,58.794036865234375,53.331851959228516,45.84623336791992
8498422126,9577113365,914871077,secondary_link,6.0,35.35224253152387,24.017738342285156,33.5717658996582,42.65805435180664,52.91189956665039,60.25690841674805,62.94820022583008,65.37452697753906,64.70568084716797,65.47968292236328,64.23368835449219,61.60968017578125,58.794036865234375,53.331851959228516,45.84623336791992
9577113367,9577113365,1040130976,primary,20.0,39.83331612948504,24.06031545003255,32.471761067708336,41.03897603352865,52.63263448079427,60.23941548665365,63.032318115234375,65.53558858235677,64.96813456217448,65.72079976399739,64.77775065104167,62.170674641927086,59.4009043375651,53.95855204264323,46.50989278157552
9577113365,9577113367,1040130976,primary,20.0,39.83331612948504,24.06031545003255,32.471761067708336,41.03897603352865,52.63263448079427,60.23941548665365,63.032318115234375,65.53558858235677,64.96813456217448,65.72079976399739,64.77775065104167,62.170674641927086,59.4009043375651,53.95855204264323,46.50989278157552
13906073324,8498422126,1525647287,footway,2.0,9.47004761496744,24.121902465820312,34.20597457885742,43.45634460449219,53.985374450683594,61.55341720581055,64.32382202148438,67.0941162109375,66.53997802734375,67.50082397460938,66.20076751708984,63.515464782714844,60.82505416870117,55.486087799072266,48.04074478149414
8498422126,13906073324,1525647287,footway,2.0,9.47004761496744,24.121902465820312,34.20597457885742,43.45634460449219,53.985374450683594,61.55341720581055,64.32382202148438,67.0941162109375,66.53997802734375,67.50082397460938,66.20076751708984,63.515464782714844,60.82505416870117,55.486087799072266,48.04074478149414
8450140844,8498422137,37402052,primary,20.0,23.833975180255415,24.11694844563802,32.93174743652344,41.6214599609375,53.23748270670573,60.9144287109375,63.742584228515625,66.34447224934895,65.76634216308594,66.47508748372395,65.76083374023438,63.11641947428385,60.43575541178385,55.027862548828125,47.64637247721354
