K_links,cum_length_m,opp_reachable,pct_of_ca,ca
0,0.0,1,1.9,54
102,4659.7,31,57.4,54
185,9464.6,40,74.1,54
285,14129.9,46,85.2,54
399,18931.7,49,90.7,54
