GU_NM,reduction_pct
동대문구,53.806979166666665
송파구,50.31384146341463
노원구,49.06333333333334
용산구,48.435231143552315
영등포구,47.46935240963855
중구,45.7748523206751
서초구,45.4330164765526
강동구,45.373046875
성동구,45.028853383458646
양천구,42.74156542056075
도봉구,42.11769230769231
종로구,41.62952218430034
중랑구,40.93992073976222
강서구,40.300606060606064
금천구,39.51763285024155
구로구,38.68430499325236
서대문구,37.23210434782609
마포구,36.43701828410689
광진구,36.103728000000004
동작구,35.63143895348837
성북구,35.22408312958435
강남구,34.120614124872056
관악구,33.57538546255507
은평구,27.683034557235423
강북구,18.45700996677741
