GU_NM,reduction_pct
종로구,94.17665529010239
동대문구,93.33715773809524
성동구,92.67058270676692
노원구,90.06956475583864
중구,89.61299578059071
중랑구,88.89800528401584
용산구,88.57418491484185
도봉구,87.93206219312601
강북구,87.3363122923588
성북구,86.91179706601467
동작구,86.629375
양천구,86.29914719626169
영등포구,85.70329819277109
구로구,82.889338731444
서대문구,82.30316521739131
송파구,82.1984668989547
관악구,80.18536343612334
금천구,79.84210144927536
은평구,79.74697624190064
서초구,78.12536121673004
강남구,77.54124872057318
강동구,77.30861979166666
마포구,76.53007032348805
강서구,73.55451790633609
광진구,65.747872
