resolution,downsample_sec,wallheight_sec,svf_sec,solweig_sec,utci_sec,total_seconds,note
1m,0,,,85860,77,85999,"9분할 타일링 필요(2026-07-23 완료), 무타일 시도는 SVF 40시간 후 SOLWEIG OOM 실패(별도 참고용, 그래프 미포함)"
5m,1,77.0,526.0,492,4,1100,"1mtrue 다운샘플 소스, 단일 실행"
10m,2,48.0,63.0,105,13,231,"1mtrue 다운샘플 소스, 단일 실행"
30m,1,6.0,5.0,10,1,23,"1mtrue 다운샘플 소스, 단일 실행"
15m,1,17.0,19.0,42,1,80,"1mtrue 다운샘플 소스, 단일 실행"
