resolution,pixel_Tmrt_MAE,pixel_Tmrt_r,pixel_UTCI_MAE,pixel_UTCI_r,pixel_HardCut38_agree_pct,link_Tmrt_MAE,link_Tmrt_r,link_UTCI_MAE,link_UTCI_r,link_HardCut38_agree_pct,link_n_disagree,link_n_total
1m,0.0,0.9999999999999998,0.0,1.0,100.0,0.0,1.0,0.0,1.0,100.0,0,16316
5m,0.75888485,0.9450433790331091,0.17633162,0.9450154117579389,97.96073506081439,1.400348730989493,0.9387559546404669,0.3257661523576976,0.9385971379438274,98.95194900710959,171,16316
15m,1.6340119,0.8051921241569229,0.3799588,0.804746802324178,98.1464908148846,3.040531211716815,0.7308075121440318,0.7071285778808404,0.7292975255523984,98.3819563618534,264,16316
10m,1.2451509,0.8769601220040597,0.28934607,0.8767487773384901,98.26174160120341,2.3564792218111306,0.8248688589092729,0.5477901836119032,0.8241273159436837,98.16131404756068,300,16316
30m,2.0946488,0.6806479916190139,0.48663768,0.6807097122530813,98.39221227822264,3.9021751149030144,0.5747538053060686,0.906756025234037,0.5728055166795304,98.22873253248345,289,16316
