resolution,pixel_Tmrt_MAE,pixel_Tmrt_r,pixel_UTCI_MAE,pixel_UTCI_r,pixel_HardCut38_agree_pct,link_Tmrt_MAE,link_Tmrt_r,link_UTCI_MAE,link_UTCI_r,link_HardCut38_agree_pct,link_n_disagree,link_n_total
5m,0.75888485,0.9450433790331091,0.17633162,0.9450154117579389,97.96073506081439,1.3965570050323115,0.9394144827714189,0.32486928126258524,0.9392941408534667,98.87227261583722,184,16316
15m,1.6340119,0.8051921241569229,0.3799588,0.804746802324178,98.1464908148846,3.192633796252899,0.7074517346334306,0.742839626513094,0.7057222157712543,97.5760123301107,346,14274
10m,1.2451509,0.8769601220040597,0.28934607,0.8767487773384901,98.26174160120341,2.3887956067073337,0.8193511533988169,0.5553755211005632,0.8186520577687446,98.02308447937132,322,16288
30m,2.0946488,0.6806479916190139,0.48663768,0.6807097122530813,98.39221227822264,4.100312557371206,0.5614201293498744,0.9530283392296605,0.5589272314625522,97.68993839835728,180,7792
