resolution,downsample_sec,wallheight_sec,svf_sec,solweig_sec,utci_sec,total_seconds,note,pixel_Tmrt_MAE,pixel_Tmrt_r,pixel_UTCI_MAE,pixel_UTCI_r,pixel_HardCut38_agree_pct,link_Tmrt_MAE,link_Tmrt_r,link_UTCI_MAE,link_UTCI_r,link_HardCut38_agree_pct,link_n_disagree,link_n_total,res_m
1m,0,,,85860,77,85999,"9분할 타일링 필요(2026-07-23 완료), 무타일 시도는 SVF 40시간 후 SOLWEIG OOM 실패(별도 참고용, 그래프 미포함)",0.0,0.9999999999999998,0.0,1.0,100.0,0.0,1.0,0.0,1.0,100.0,0,16316,1
5m,1,77.0,526.0,492,4,1100,"1mtrue 다운샘플 소스, 단일 실행",0.75888485,0.9450433790331092,0.17633162,0.9450154117579388,97.9607350608144,1.400348730989493,0.9387559546404668,0.3257661523576976,0.9385971379438274,98.9519490071096,171,16316,5
10m,2,48.0,63.0,105,13,231,"1mtrue 다운샘플 소스, 단일 실행",1.2451509,0.8769601220040597,0.28934607,0.8767487773384901,98.2617416012034,2.3564792218111306,0.8248688589092729,0.5477901836119032,0.8241273159436837,98.16131404756068,300,16316,10
15m,1,17.0,19.0,42,1,80,"1mtrue 다운샘플 소스, 단일 실행",1.6340119,0.8051921241569229,0.3799588,0.804746802324178,98.1464908148846,3.040531211716815,0.7308075121440318,0.7071285778808404,0.7292975255523984,98.3819563618534,264,16316,15
30m,1,6.0,5.0,10,1,23,"1mtrue 다운샘플 소스, 단일 실행",2.0946488,0.6806479916190139,0.48663768,0.6807097122530813,98.39221227822264,3.9021751149030144,0.5747538053060686,0.906756025234037,0.5728055166795304,98.22873253248343,289,16316,30
