hour,n,tmrt_mae,tmrt_rmse,tmrt_bias,tmrt_maxabs,tmrt_r,utci_mae,utci_rmse,utci_bias,utci_maxabs,utci_r
6,44926830,0.038143232464790344,0.08722221851348877,0.017959890887141228,1.2456073760986328,0.9878743837476325,0.009327178820967674,0.02132856287062168,0.00439180014654994,0.3045845031738281,0.987873745856801
7,44926830,0.30016353726387024,0.7625715732574463,-0.10589150339365005,6.340593338012695,0.9580794489259594,0.07271767407655716,0.18471018970012665,-0.025646956637501717,1.5362071990966797,0.958131101171191
8,44926830,0.4382655620574951,0.9936754703521729,-0.1491774469614029,12.448762893676758,0.9816277352594927,0.1039552390575409,0.23570451140403748,-0.035353146493434906,2.954864501953125,0.9816630971320877
9,44926830,0.4745215177536011,1.319959282875061,-0.1003245860338211,18.77044677734375,0.9860523011589123,0.11084283888339996,0.30814290046691895,-0.02350945957005024,4.374385833740234,0.9860304837346119
10,44926830,0.4698259234428406,1.352060079574585,-0.016018446534872055,24.97069549560547,0.9904573346005942,0.10984357446432114,0.31479382514953613,-0.004138826392591,5.807670593261719,0.9903999933160186
11,44926830,0.38644835352897644,1.0860283374786377,0.038566529750823975,25.474990844726562,0.9940349442373059,0.09062157571315765,0.25318482518196106,0.008374512195587158,5.880886077880859,0.9939630634648171
12,44926830,0.35124725103378296,1.2184847593307495,0.1308419108390808,29.478004455566406,0.9935961984838096,0.08275836706161499,0.2843833267688751,0.030205992981791496,6.879398345947266,0.9935271197539047
13,44926830,0.32369741797447205,1.059026837348938,0.12036817520856857,26.365299224853516,0.9943955819503805,0.07640139758586884,0.24797841906547546,0.027773777022957802,6.142803192138672,0.9943181216302007
14,44926830,0.33791327476501465,1.1669553518295288,0.13339471817016602,28.610462188720703,0.9936762227721272,0.07967042922973633,0.2723945081233978,0.030747156590223312,6.618839263916016,0.9935926397905719
15,44926830,0.3616503179073334,1.12470543384552,0.09610261768102646,27.013687133789062,0.9932844783153599,0.08504390716552734,0.2624070346355438,0.02181166224181652,6.257755279541016,0.9931709534766042
16,44926830,0.3900177776813507,1.0876983404159546,0.027888910844922066,23.702407836914062,0.9923866308904364,0.09079532325267792,0.25184348225593567,0.005731809418648481,5.429737091064453,0.9922418058098417
17,44926830,0.4732118546962738,1.5666418075561523,-0.021231092512607574,23.487445831298828,0.9835452420449122,0.1083415076136589,0.3572736084461212,-0.005284050479531288,5.307163238525391,0.9833621727277219
18,44926830,0.6854469180107117,2.236633539199829,-0.19900238513946533,22.307998657226562,0.9568135258790614,0.1544402688741684,0.503385603427887,-0.044861678034067154,5.035717010498047,0.9566358257851333
19,44926830,0.7448156476020813,2.1392414569854736,-0.24045856297016144,17.4548397064209,0.928430812888295,0.16726510226726532,0.48076331615448,-0.053951919078826904,3.932140350341797,0.9283342348841257
