hour,Tmrt_MAE_v2v3,Tmrt_r_v2v3,Tmrt_MAE_v2_1mtrue,Tmrt_r_v2_1mtrue,Tmrt_MAE_v3_1mtrue,Tmrt_r_v3_1mtrue,UTCI_MAE_v2v3,UTCI_r_v2v3,UTCI_MAE_v2_1mtrue,UTCI_r_v2_1mtrue,UTCI_MAE_v3_1mtrue,UTCI_r_v3_1mtrue,HardCut38_v2v3,HardCut38_v2_1mtrue,HardCut38_v3_1mtrue,n_valid
6,0.03003269,0.9921948493419361,0.52223283,0.38259743791624284,0.51656485,0.3930559366609966,0.00734365,0.9921945029687061,0.17645057,0.382585004423306,0.1752149,0.3930440838938193,100.0,100.0,100.0,1153040
7,0.26096317,0.9426788390566571,1.7313812,0.5057906072675594,1.6595341,0.541027511106255,0.06322169,0.9427131683140678,0.46742898,0.5058603446347864,0.4535782,0.5410813014905009,100.0,100.0,100.0,1153040
8,0.3662601,0.9746226262237258,2.646303,0.5263281203778194,2.559773,0.5462967278486353,0.08688682,0.9746377449771659,0.61800826,0.5265361627437327,0.60090053,0.5464830057455617,100.0,100.0,100.0,1153040
9,0.42191723,0.9761209966246988,3.4170194,0.5472159952599764,3.336527,0.5609696613343764,0.09856612,0.9761247699346187,0.8290993,0.546968318097926,0.8166007,0.5607428733077704,97.07824533407342,70.03503781308541,70.51871574273225,1153040
10,0.427615,0.9805654324239707,3.691946,0.5753124294622686,3.6211202,0.583904699078167,0.10008528,0.9806119477926429,0.88241047,0.5744532979317104,0.8713629,0.5831250750156665,98.85537362103656,90.79338097550821,90.89433150627906,1153040
11,0.3247059,0.9886263665367168,3.190062,0.6223977136523787,3.1406097,0.6258811733697307,0.07649575,0.9886784450533951,0.75724345,0.6207496407681974,0.7491126,0.6243575987218513,99.77398876014709,98.24559425518629,98.24941025463123,1153040
12,0.26988026,0.9911002184825671,2.9138327,0.6730782012621688,2.8751087,0.6731842829103523,0.064273015,0.9911926740867851,0.7608549,0.6719163319912835,0.758351,0.6721470726641655,99.88395892596961,99.1753104835912,99.18675848192603,1153040
13,0.23201059,0.9948824330258459,2.656458,0.6952349381638401,2.6191523,0.6951377050208647,0.05547039,0.9949090322591786,0.6342871,0.6936370951663184,0.62530947,0.6936326816144631,99.7089433150628,98.93802469992367,99.15831194060917,1153040
14,0.24266866,0.9932087806475509,2.860741,0.6900252455520822,2.8161862,0.6908541761527981,0.058021408,0.9932647829049754,0.8041038,0.6888122780839243,0.8014506,0.6897249895875739,99.51849025185597,99.25588010823562,99.35301463956151,1153040
15,0.2866368,0.989875677594829,3.066552,0.6631690671441652,3.0179775,0.6653812518304917,0.06812172,0.9899301935679167,0.87769455,0.662170452072382,0.8740008,0.664478139708141,99.77841185041282,99.48388607507111,99.49680843682786,1153040
16,0.35311046,0.9848742047974198,3.195705,0.6377172424826945,3.1282723,0.6449446025910804,0.0826603,0.9849133561581987,0.90470487,0.6370807022510202,0.8964863,0.6443868857156263,99.59689169499757,99.29802955665025,99.27981683202664,1153040
17,0.4832291,0.9709194518406983,3.864352,0.6138130936372228,3.7539973,0.630488490417004,0.11093368,0.9710065664588252,1.2275643,0.6141833547215441,1.2101376,0.6308373302066232,99.78959966696732,96.75666065357663,96.74226392839797,1153040
18,0.62971175,0.9556834611295821,4.2191005,0.5962149456787608,4.0415654,0.623853417019224,0.14219959,0.9557035118442997,1.1493192,0.5968581453250973,1.1180723,0.6244322323242967,97.03227988621383,83.43344550058974,84.26871574273225,1153040
19,0.66502935,0.9382730315828293,3.7060413,0.5955761278079693,3.493685,0.6325470642515325,0.14961357,0.9382078356244864,0.95241034,0.596099043693117,0.9152615,0.6330372882165409,96.33724762367308,80.1930548810102,80.88591896204815,1153040
